"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"ENSG00000135972"	-0.916999334860705	4.12388069571812	61.5424944776252	3.1156927724438e-08	4.75433326152087e-06
"ENSG00000163882"	-0.967339317023054	4.46476332986501	61.5017285553459	3.13450722019736e-08	4.75433326152087e-06
"ENSG00000112715"	2.09060099060364	3.21550435021726	61.4179306281434	3.17356829913582e-08	4.78330593011258e-06
"ENSG00000211786"	-2.13624489863105	2.33863148966422	61.2368827828176	3.25976689941828e-08	4.88251960903495e-06
"ENSG00000180667"	1.47947473902146	2.84678854134446	61.0599898721704	3.34643323678558e-08	4.98119705090475e-06
"ENSG00000211787"	-1.81291647575135	3.45620454362119	60.9497260006048	3.40171192974594e-08	5.00280356676297e-06
"ENSG00000106714"	6.09451022645479	0.986318927768679	60.9129662998893	3.42035917088281e-08	5.00280356676297e-06
"ENSG00000164530"	-2.4973067382499	2.30231470888354	60.9066484488506	3.42357515104998e-08	5.00280356676297e-06
"ENSG00000259494"	-1.36704343258729	4.4092673677082	60.7777169938215	3.48992340782437e-08	5.06884936172794e-06
"ENSG00000090339"	2.26983574806417	5.22096397777578	60.6711223045556	3.54582564909159e-08	5.11901877593253e-06
"ENSG00000144120"	-2.06264352873956	1.79030749581887	60.1226113023931	3.8491908844436e-08	5.52370416441263e-06
"ENSG00000119801"	1.14877584734831	7.44524125492665	59.9179893055128	3.96944089731782e-08	5.66236018477509e-06
"ENSG00000145901"	0.842000669694603	5.53325922260724	59.8250931123313	4.02536625052458e-08	5.70815989312554e-06
"ENSG00000162702"	1.53869221841535	3.2269192108204	59.7524036900171	4.06971991442792e-08	5.73710810289794e-06
"ENSG00000179933"	-1.38905907027861	5.654063104149	59.6397620300392	4.13949730534942e-08	5.80134812413443e-06
"ENSG00000128918"	3.78978790491668	3.08898714551939	59.5294722494073	4.20907075946022e-08	5.86455702037582e-06
"ENSG00000117543"	-0.853901610838525	5.1189438415795	59.391901204702	4.29762855276894e-08	5.95333342584437e-06
"ENSG00000151014"	2.07764078223217	5.44515194253726	59.290185048114	4.36439859961068e-08	5.99575253910282e-06
"ENSG00000103569"	2.5071094776377	6.20849466438179	59.2692374872952	4.37828789627788e-08	5.99575253910282e-06
"ENSG00000174946"	-1.55101837473961	3.59416704855514	59.1754542603442	4.44105866960949e-08	6.0471574441586e-06
"ENSG00000059728"	2.45176738812431	7.24667195539463	59.1074770309423	4.4871641421457e-08	6.07541743878654e-06
"ENSG00000145247"	-1.20351919257568	6.10342545925812	59.0107992026553	4.55362808710457e-08	6.13076950041915e-06
"ENSG00000211751"	-1.64393200684508	7.81354025195397	58.8559913326077	4.66227899095093e-08	6.24198413509156e-06
"ENSG00000227383"	1.7286867607392	2.947615012851	58.6075108458614	4.84256879575909e-08	6.4473422883537e-06
"ENSG00000116824"	-1.48993025112262	6.74654298151135	58.3503104320427	5.03714177026519e-08	6.66934268090637e-06
"ENSG00000054967"	1.31426608803941	4.69477022039453	58.1885342019084	5.16383919520576e-08	6.77747552698394e-06
"ENSG00000167508"	1.29245035215707	5.00663234769703	58.1740209348175	5.17537250756545e-08	6.77747552698394e-06
"ENSG00000138069"	1.00391693490598	6.11037736158511	57.9534705136073	5.35410356831594e-08	6.97188420361419e-06
"ENSG00000163739"	3.5836217640754	3.0397990770375	57.9197537144382	5.38200950414615e-08	6.97188420361419e-06
"ENSG00000140575"	0.87100953301081	7.28637178897858	57.6872757505357	5.57874848745227e-08	7.1550828122817e-06
"ENSG00000179604"	1.90706712657048	2.26255415850638	57.6821832240956	5.58314410972951e-08	7.1550828122817e-06
"ENSG00000155090"	1.68461496901821	6.17271179807952	57.6401709591724	5.61955005434041e-08	7.16343175809936e-06
"ENSG00000249138"	3.48531462216362	1.92667690774991	57.4655042420199	5.77367962322582e-08	7.32096466511147e-06
